Quarter,GOV,Revenue,Contribution,EBITDA,Monthly_Transacting_Customers
Q1 FY23,6425,1470,179,-113,16.7
Q2 FY23,6631,1581,297,2,17.5
Q3 FY23,6680,1565,339,23,17.4
Q4 FY23,6569,1530,380,78,16.6
Q1 FY24,7318,1742,466,181,17.5
Q2 FY24,7980,1938,525,204,18.4
Q3 FY24,8486,2062,601,252,18.8
Q4 FY24,8439,2050,633,275,19
Q1 FY25,9264,2256,673,313,20.3
Q2 FY25,9690,2340,735,341,20.7
Q3 FY25,8443,2413,843,423,20.5
Q4 FY25,8210,2409,842,428,20.9
Q1 FY26,8967,2657,885,451,22.9
Q2 FY26,9423,2863,976,503,24.1
Q3 FY26,9846,3053,1023,531,24.9
Q4 FY26,9757,3125,998,532,25.4
