Quarter,Hyperpure_Revenue,Hyperpure_EBITDA,GoingOut_GOV,GoingOut_Revenue,GoingOut_EBITDA
Q1 FY23,273,-44,,,
Q2 FY23,334,-53,,,
Q3 FY23,421,-53,,,
Q4 FY23,478,-45,348,41,-2
Q1 FY24,617,-35,616,42,3
Q2 FY24,745,-34,682,49,1
Q3 FY24,859,-34,858,73,1
Q4 FY24,951,-23,1069,93,-11
Q1 FY25,1145,-22,1450,140,-13
Q2 FY25,1380,-20,2000,200,-15
Q3 FY25,1671,-19,2158,259,-17
Q4 FY25,1840,-22,1868,229,-47
Q1 FY26,2295,-18,2013,207,-54
Q2 FY26,1023,-5,2063,189,-63
Q3 FY26,1070,1,2587,300,-121
Q4 FY26,978,5,2736,277,-81
